pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
758207,TB,nse_cm,,364D060826,364D060826-TB,,364D060826-TB,IN002025Z195,,,,GOI TBILL 364D-06/08/26,,,1,100,-1,-1,2,-1,NSE,,,1439078400,,1439078400,0,0,0,0,0,91.50-101.12,0,0,1451500020,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1038105.00,100,0,10112,9150,1,1,1,0,0,1,0,5.01258e+08,0,0,1038105,
29425,N0,nse_cm,,0NHIT35,0NHIT35-N0,,0NHIT35-N0,INE0H7R07058,,,,NHIT 0% 35 SR I STRPP B,,,1,1,-1,-1,2,-1,NSE,,,1422835200,,1422835200,0,0,0,0,0,80000.00-120000.00,0,0,1451493499,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,999.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,101584,0,0,999,
9594,BL,nse_cm,,POLYCAB,POLYCAB-BL,,POLYCAB-BL,INE455K01017,,,,POLYCAB INDIA LIMITED,,,50,1,-1,-1,2,-1,NSE,,,1239840000,,1239840000,0,0,0,0,1435190400,7269.00-7718.00,0,0,1451498920,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,13096.00,1,0,771800,726900,1,1,1,0,0,1,0,1.5053e+08,0,0,13096,
19620,SG,nse_cm,,772AP36,772AP36-SG,,772AP36-SG,IN1020230539,,,,SDL AP 7.72% 2036,,,1,100,-1,-1,2,-1,NSE,,,1382832000,,1382832000,0,0,0,0,0,95.00-105.00,0,0,1451493497,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
12741,BL,nse_cm,,XCHANGING,XCHANGING-BL,,XCHANGING-BL,INE692G01013,,,,XCHANGING SOLUTIONS LTD,,,1,1,-1,-1,2,-1,NSE,,,816220800,,816220800,0,0,0,0,1436659200,78.96-83.84,0,0,1451498924,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,1219202.00,1,0,8384,7896,1,1,1,0,0,1,0,1.11404e+08,0,0,1219202,
16722,BL,nse_cm,,ALMONDZ,ALMONDZ-BL,,ALMONDZ-BL,INE326B01035,,,,ALMONDZ GLOBAL SEC LTD,,,1,1,-1,-1,2,-1,NSE,,,898041600,,898041600,0,0,1410739200,1411257600,0,17.06-18.10,0,0,1451498931,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,0,1,5678248.00,1,0,1810,1706,1,1,1,0,0,1,0,1.73647e+08,0,0,5678248,
8683,SG,nse_cm,,729GJ32,729GJ32-SG,,729GJ32-SG,IN1520210239,,,,SDL GJ 7.29% 2032,,,1,100,-1,-1,2,-1,NSE,,,1333238400,,1333238400,0,0,0,0,0,93.58-103.42,0,0,1451493495,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1015200.00,100,0,10342,9358,1,1,1,0,0,1,0,2e+08,0,0,1015200,
857,EQ,nse_cm,,DHAMPURSUG,DHAMPURSUG-EQ,,DHAMPURSUG,INE041A01016,,,,DHAMPUR SUGAR MILLS LTD.,,,1,1,-1,-1,2,-1,NSE,,,471830400,,480902400,0,0,0,0,1432425600,99.50-149.24,0,0,1451500017,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,804024.00,1,0,14924,9950,1,1,1,0,0,1,0,6.43065e+07,0,0,804024,
21713,EQ,nse_cm,,LASA,LASA-EQ,,LASA,INE670X01014,,,,LASA SUPERGENERICS LTD,,,1,1,-1,-1,2,-1,NSE,,,1190419200,,1190419200,0,0,1411344000,1411862400,0,8.00-9.76,0,0,1451499059,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,1638310.00,1,0,976,800,1,1,1,0,0,1,0,5.01012e+07,0,0,1638310,"The scrip PE is greater than 50 for previous 4 trailing quarters,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,High low price variation was greater than 200% in previous 365 days,High low price variation was greater than 150% in previous 12 months"
6354,BL,nse_cm,,NIFTYETF,NIFTYETF-BL,,NIFTYETF-BL,INF769K01EG9,,,,MIRAEAMC - MAN50ETF,,,1,1,-1,-1,2,-1,NSE,,,1227657600,,1227657600,0,0,0,0,0,272.60-289.46,0,0,1451498917,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,354440.00,1,0,28946,27260,1,1,1,0,0,1,0,1.68621e+08,0,0,354440,
